2023-07-25 21:07:852 INFO  HomePage :48 - Click in on menu[[[ChromeDriver: chrome on windows (57a9a06ff932cf1d0a3b74280e52b91c)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (57a9a06ff932cf1d0a3b74280e52b91c)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (57a9a06ff932cf1d0a3b74280e52b91c)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (57a9a06ff932cf1d0a3b74280e52b91c)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (57a9a06ff932cf1d0a3b74280e52b91c)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (57a9a06ff932cf1d0a3b74280e52b91c)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (57a9a06ff932cf1d0a3b74280e52b91c)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2023-07-25 21:07:310 INFO  HomePage :48 - Click in on menu[[[ChromeDriver: chrome on windows (638020321a9939102662eed96c3d4666)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (638020321a9939102662eed96c3d4666)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (638020321a9939102662eed96c3d4666)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (638020321a9939102662eed96c3d4666)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (638020321a9939102662eed96c3d4666)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (638020321a9939102662eed96c3d4666)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (638020321a9939102662eed96c3d4666)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2023-07-25 21:07:188 INFO  HomePage :48 - Click in on menu[[[ChromeDriver: chrome on windows (32e2d830c15624618e6933e1228d2a69)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (32e2d830c15624618e6933e1228d2a69)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (32e2d830c15624618e6933e1228d2a69)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (32e2d830c15624618e6933e1228d2a69)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (32e2d830c15624618e6933e1228d2a69)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (32e2d830c15624618e6933e1228d2a69)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (32e2d830c15624618e6933e1228d2a69)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2023-07-25 21:07:724 INFO  BuildYourOwnComputerPage :43 - Click on build your onw comupter:[[ChromeDriver: chrome on windows (32e2d830c15624618e6933e1228d2a69)] -> xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']]
2023-07-25 21:07:983 INFO  BuildYourOwnComputerPage :48 - Select Process:[[ChromeDriver: chrome on windows (32e2d830c15624618e6933e1228d2a69)] -> xpath: //select[@id='product_attribute_1']]
2023-07-25 21:07:174 INFO  BuildYourOwnComputerPage :52 - Select Ram:[[ChromeDriver: chrome on windows (32e2d830c15624618e6933e1228d2a69)] -> xpath: //select[@id='product_attribute_2']]
2023-07-25 21:07:326 INFO  BuildYourOwnComputerPage :57 - Select HDD:[[ChromeDriver: chrome on windows (32e2d830c15624618e6933e1228d2a69)] -> xpath: //input[@name='product_attribute_3']]
2023-07-25 21:07:438 INFO  BuildYourOwnComputerPage :61 - Select OS:[[ChromeDriver: chrome on windows (32e2d830c15624618e6933e1228d2a69)] -> xpath: //input[@name='product_attribute_4']]
2023-07-25 21:07:567 INFO  BuildYourOwnComputerPage :65 - Click on total Commander:[[ChromeDriver: chrome on windows (32e2d830c15624618e6933e1228d2a69)] -> xpath: //input[@name='product_attribute_5']]
2023-07-25 21:07:679 INFO  BuildYourOwnComputerPage :69 - Click on Add to cart:[[ChromeDriver: chrome on windows (32e2d830c15624618e6933e1228d2a69)] -> xpath: //button[@id='add-to-cart-button-1']]
